,Name,Prism_Size_pix,Prism_Size_um,X ,0.619X,Cap_radius_pix,Cap_radius_um,Centre_to_cap_edge_pix,Centre_to_cap_edge_um,Z_cap_top,Prism_to_Cap_edge_z_X,Prism_edge__zfocus,Centre_thru_prism,,Polish_length,P,Q,,,
,Hexabundle or guide letter,Prism size - face being glued to (pix),Prism size - face being glued to (um),X = prism size-3000  (um),0.619X,Capillary radius (pix),Cap radius (um),Capillary top edge (bottom on screen) to centre of central core (pix),Capillary top edge (bottom on screen) to centre of central core (um),Cap top edge from z method,Requred height from top of prism to top of capillary once shifed by the X-factor = (1500-Cap_core-to-cap-edge) +0.619X,Required z-focus of the prism face,Expected centre through the prism,,shift of hexa face from the ferule face from polishing,P -  position of the hexabundle compared to nominal distance of the hexa face from the ferule (um),Q - sideways shift of the hexa compared to ferule axis where right is +ve when looking towards the ferule (um),,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,A,1604.31,3077.06658,77.06658,47.70421302,0,0,517.02,991.64436,6247,556.059853,5690.940147,29.36236698,,51,80.36236698,0,,,
,B,1606.62,3081.49716,81.49716,50.44674204,0,0,550.67,1056.18506,6241,494.261682,5746.738318,31.05041796,,29,60.05041796,0,,,
,C,1599.36,3067.57248,67.57248,41.82736512,0,0,465.84,893.48112,6444,648.3462451,5795.653755,25.74511488,,44,69.74511488,0,,,
,D,1610.8,3089.5144,89.5144,55.4094136,0,0,390.14,748.28852,6614,807.1208936,5806.879106,34.1049864,,56,90.1049864,0,,,
,E,1621.8,3110.6124,110.6124,68.4690756,0,0,324.2,621.8156,6732,946.6534756,5785.346524,42.1433244,,64,106.1433244,0,,,
,F,1606.22,3080.72996,80.72996,49.97184524,0,0,311.19,596.86242,6769.5,953.1094252,5816.390575,30.75811476,,21,51.75811476,0,,,
,G,1624.21,3115.23478,115.23478,71.33032882,0,0,320.83,615.35194,6758,955.9783888,5802.021611,43.90445118,,33,76.90445118,0,,,
,H,1614.27,3096.16986,96.16986,59.52914334,0,0,314.42,603.05756,6751,956.4715833,5794.528417,36.64071666,,-29,7.64071666,0,,,
,I,1590.92,3051.38456,51.38456,31.80704264,0,0,382.46,733.55828,6579.5,798.2487626,5781.251237,19.57751736,,6,25.57751736,0,,,
,J,1612.79,3093.33122,93.33122,57.77202518,0,0,317.69,609.32942,6708,948.4426052,5759.557395,35.55919482,,21,56.55919482,0,,,
,K,1618.33,3103.95694,103.95694,64.34934586,0,0,320.34,614.41212,6692,949.9372259,5742.062774,39.60759414,,17.68,57.28759414,0,,,
,L,1598.75,3066.4025,66.4025,41.1031475,0,0,323.08,619.66744,6743,921.4357075,5821.564293,25.2993525,,56.56,81.8593525,0,,,
,M,1597.55,3064.1009,64.1009,39.6784571,0,0,313.9,602.0602,6732,937.6182571,5794.381743,24.4224429,,21,45.4224429,0,,,
,N,1598.18,3065.30924,65.30924,40.42641956,0,0,317.25,608.4855,6764.5,931.9409196,5832.55908,24.88282044,,80,104.8828204,0,,,
,O,1595.24,3059.67032,59.67032,36.93592808,0,0,387.15,742.5537,6627,794.3822281,5832.617772,22.73439192,,-6,16.73439192,20,,,
,P,1604.55,3077.5269,77.5269,47.9891511,0,0,381.44,731.60192,6619,816.3872311,5802.612769,29.5377489,,-14,15.5377489,0,,,
,Q,1609.8,3087.5964,87.5964,54.2221716,0,0,326.91,627.01338,6711,927.2087916,5783.791208,33.3742284,,2,35.3742284,0,,,
,R,1612.97,3093.67646,93.67646,57.98572874,0,0,319.73,613.24214,6765,944.7435887,5820.256411,35.69073126,,13,48.69073126,0,,,
,S,1622.44,3111.83992,111.83992,69.22891048,0,0,323.73,620.91414,6710,948.3147705,5761.68523,42.61100952,,-9.53,33.08100952,0,,,
,T,1606.5,3081.267,81.267,50.304273,0,0,323.05,619.6099,6839,930.694373,5908.305627,30.962727,,21,51.962727,0,,,
,U,1603.53,3075.57054,75.57054,46.77816426,0,0,324.54,622.46772,6735,924.3104443,5810.689556,28.79237574,,10,38.79237574,0,,,
,GS1,1610.65,3089.2267,89.2267,55.2313273,0,0,388,744.184,6572,811.0473273,5760.952673,33.9953727,,0,33.9953727,0,,,
,GS2,1609.87,3087.73066,87.73066,54.30527854,0,0,402,771.036,6542.7,783.2692785,5759.430721,33.42538146,,0,33.42538146,0,,,
,GS3,1616.5,3100.447,100.447,62.176693,0,0,397.3,762.0214,6553.9,800.155293,5753.744707,38.270307,,0,38.270307,0,,,
,GS4,1607.18,3082.57124,82.57124,51.11159756,0,0,402.96,772.87728,6621.5,778.2343176,5843.265682,31.45964244,,0,31.45964244,0,,,
,GS5,1615.16,3097.87688,97.87688,60.58578872,0,0,399.96,767.12328,6532,793.4625087,5738.537491,37.29109128,,0,37.29109128,0,,,
,GS6,1602.43,3073.46074,73.46074,45.47219806,0,0,394.46,756.57428,6615,788.8979181,5826.102082,27.98854194,,0,27.98854194,0,,,
