x_factor,-1,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,
y_factor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,
SUBPLATE_name,SUBPLATE_number,,,x,y,r,x,y,r,x,y,r,x,y,r,,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,1,,,-84.151,-231.15927,246,-82.44066,-226.46104,241.00013,-81.75646,-224.58157,239,-81.0723,-222.70223,237,,-231.15927,84.151,246,-226.46104,82.44066,241.00013,-224.58157,81.75646,239,-222.70223,81.0723,237,,
A1,2,,,-95.17558,-226.8427,246,-93.24117,-222.23219,241.00013,-92.46733,-220.38782,239,-91.69355,-218.54357,237,,-226.8427,95.17558,246,-222.23219,93.24117,241.00013,-220.38782,92.46733,239,-218.54357,91.69355,237,,
A1,3,,,-105.9797,-222.00068,246,-103.8257,-217.48859,241.00013,-102.96402,-215.68359,239,-102.1024,-213.87871,237,,-222.00068,105.9797,246,-217.48859,103.8257,241.00013,-215.68359,102.96402,239,-213.87871,102.1024,237,,
A1,4,,,-116.53835,-216.64444,246,-114.16975,-212.24121,241.00013,-113.22222,-210.47976,239,-112.27476,-208.71842,237,,-216.64444,116.53835,246,-212.24121,114.16975,241.00013,-210.47976,113.22222,239,-208.71842,112.27476,237,,
A1,5,,,-126.82706,-210.78638,246,-124.24934,-206.50222,241.00014,-123.21816,-204.78839,239,-122.18704,-203.07468,237,,-210.78638,126.82706,246,-206.50222,124.24934,241.00014,-204.78839,123.21816,239,-203.07468,122.18704,237,,
A1,6,,,-136.82198,-204.44008,246,-134.04112,-200.2849,241.00013,-132.92867,-198.62268,239,-131.8163,-196.96056,237,,-204.44008,136.82198,246,-200.2849,134.04112,241.00013,-198.62268,132.92867,239,-196.96056,131.8163,237,,
A1,7,,,-146.5,-197.62022,246,-143.52243,-193.60365,241.00013,-142.3313,-191.99688,239,-141.14024,-190.39021,237,,-197.62022,146.5,246,-193.60365,143.52243,241.00013,-191.99688,142.3313,239,-190.39021,141.14024,237,,
A2,1,,,-245.98078,-3.07501,246,-240.9813,-3.01251,241.00013,-238.98133,-2.98751,239,-236.98148,-2.96251,237,,-3.07501,245.98078,246,-3.01251,240.9813,241.00013,-2.98751,238.98133,239,-2.96251,236.98148,237,,
A2,2,,,-245.84385,8.76372,246,-240.84715,8.5856,241.00013,-238.84829,8.51435,239,-236.84956,8.4431,237,,8.76372,245.84385,246,8.5856,240.84715,241.00013,8.51435,238.84829,239,8.4431,236.84956,237,,
A2,3,,,-245.13746,20.58215,246,-240.15512,20.16382,241.00013,-238.16201,19.99647,239,-236.16902,19.82914,237,,20.58215,245.13746,246,20.16382,240.15512,241.00013,19.99647,238.16201,239,19.82914,236.16902,237,,
A2,4,,,-243.86326,32.3529,246,-238.90682,31.69534,241.00013,-236.92406,31.43229,239,-234.94143,31.16926,237,,32.3529,243.86326,246,31.69534,238.90682,241.00013,31.43229,236.92406,239,31.16926,234.94143,237,,
A2,5,,,-242.02419,44.04872,246,-237.10513,43.15344,241.00013,-235.13733,42.7953,239,-233.16965,42.43718,237,,44.04872,242.02419,246,43.15344,237.10513,241.00013,42.7953,235.13733,239,42.43718,233.16965,237,,
A2,6,,,-239.62452,55.6425,246,-234.75423,54.51158,241.00013,-232.80594,54.05917,239,-230.85777,53.6068,237,,55.6425,239.62452,246,54.51158,234.75423,241.00013,54.05917,232.80594,239,53.6068,230.85777,237,,
A2,7,,,-236.66981,67.1074,246,-231.85957,65.74346,241.00013,-229.9353,65.19784,239,-228.01116,64.65225,237,,67.1074,236.66981,246,65.74346,231.85957,241.00013,65.19784,229.9353,239,64.65225,228.01116,237,,
A3,1,,,-67.75933,236.48398,246,-66.38214,231.67752,241.00013,-65.83122,229.75476,239,-65.28033,227.83213,237,,236.48398,67.75933,246,231.67752,66.38214,241.00013,229.75476,65.83122,239,227.83213,65.28033,237,,
A3,2,,,-56.30261,239.47028,246,-55.15828,234.60313,241.00013,-54.7005,232.65609,239,-54.24276,230.70917,237,,239.47028,56.30261,246,234.60313,55.15828,241.00013,232.65609,54.7005,239,230.70917,54.24276,237,,
A3,3,,,-44.71549,241.90189,246,-43.80666,236.98531,241.00013,-43.4431,235.0185,239,-43.07956,233.05182,237,,241.90189,44.71549,246,236.98531,43.80666,241.00013,235.0185,43.4431,239,233.05182,43.07956,237,,
A3,4,,,-33.02479,243.77318,246,-32.35357,238.81857,241.00013,-32.08506,236.83654,239,-31.81656,234.85465,237,,243.77318,33.02479,246,238.81857,32.35357,241.00013,236.83654,32.08506,239,234.85465,31.81656,237,,
A3,5,,,-21.25758,245.07981,246,-20.82553,240.09865,241.00013,-20.65269,238.106,239,-20.47987,236.11348,237,,245.07981,21.25758,246,240.09865,20.82553,241.00013,238.106,20.65269,239,236.11348,20.47987,237,,
A3,6,,,-9.44115,245.81876,246,-9.24926,240.82258,241.00013,-9.1725,238.82392,239,-9.09574,236.82539,237,,245.81876,9.44115,246,240.82258,9.24926,241.00013,238.82392,9.1725,239,236.82539,9.09574,237,,
A3,7,,,-2.39716,245.98832,246,-2.34844,240.98869,241.00013,-2.32895,238.98865,239,-2.30946,236.98875,237,,245.98832,2.39716,246,240.98869,2.34844,241.00013,238.98865,2.32895,239,236.98875,2.30946,237,,
A4,1,,,120.30982,214.57294,246,117.86456,210.21182,241.00013,116.88637,208.46721,239,115.90824,206.72271,237,,214.57294,-120.30982,246,210.21182,-117.86456,241.00013,208.46721,-116.88637,239,206.72271,-115.90824,237,,
A4,2,,,130.49449,208.53582,246,127.84223,204.2974,241.00013,126.78123,202.60188,239,125.7203,200.90646,237,,208.53582,-130.49449,246,204.2974,-127.84223,241.00013,202.60188,-126.78123,239,200.90646,-125.7203,237,,
A4,3,,,140.37688,202.01567,246,137.52377,197.90977,241.00013,136.38242,196.26726,239,135.24114,194.62485,237,,202.01567,-140.37688,246,197.90977,-137.52377,241.00013,196.26726,-136.38242,239,194.62485,-135.24114,237,,
A4,4,,,149.93413,195.02758,246,146.88677,191.06371,241.00013,145.66771,189.47801,239,144.44874,187.89242,237,,195.02758,-149.93413,246,191.06371,-146.88677,241.00013,189.47801,-145.66771,239,187.89242,-144.44874,237,,
A4,5,,,159.14407,187.58775,246,155.90952,183.77509,241.00013,154.61558,182.24989,239,153.32173,180.72478,237,,187.58775,-159.14407,246,183.77509,-155.90952,241.00013,182.24989,-154.61558,239,180.72478,-153.32173,237,,*Piston number starts from left of subplate and increments to the right (i.e. clockwise in above diagram)
A4,6,,,167.98539,179.7134,246,164.57115,176.06079,241.00014,163.20532,174.59961,239,161.83959,173.13852,237,,179.7134,-167.98539,246,176.06079,-164.57115,241.00014,174.59961,-163.20532,239,173.13852,-161.83959,237,,*Position 1 measured from model
A4,7,,,176.43761,171.42278,246,172.85157,167.93867,241.00013,171.41703,166.5449,239,169.98257,165.15122,237,,171.42278,-176.43761,246,167.93867,-172.85157,241.00013,166.5449,-171.41703,239,165.15122,-169.98257,237,,"*Positions 0, 2 and 3 calculated based on v-groove spacing"
A5,1,,,193.77428,-151.55041,246,189.83588,-148.4702,241.00013,188.26038,-147.238,239,186.68498,-146.00589,237,,-151.55041,-193.77428,246,-148.4702,-189.83588,241.00013,-147.238,-188.26038,239,-146.00589,-186.68498,237,,x direction is North on sky
A5,2,,,186.25813,-160.69819,246,182.47249,-157.43205,241.00012,180.9581,-156.12548,239,179.44381,-154.81899,237,,-160.69819,-186.25813,246,-157.43205,-182.47249,241.00012,-156.12548,-180.9581,239,-154.81899,-179.44381,237,,
A5,3,,,178.31055,-169.47374,246,174.68645,-166.02924,241.00013,173.23667,-164.65131,239,171.78699,-163.27348,237,,-169.47374,-178.31055,246,-166.02924,-174.68645,241.00013,-164.65131,-173.23667,239,-163.27348,-171.78699,237,,
A5,4,,,169.94995,-177.85673,246,166.49577,-174.24185,241.00013,165.11397,-172.79576,239,163.73226,-171.34978,237,,-177.85673,-169.94995,246,-174.24185,-166.49577,241.00013,-172.79576,-165.11397,239,-171.34978,-163.73226,237,,
A5,5,,,161.19568,-185.82775,246,157.91943,-182.05086,241.00013,156.60881,-180.53997,239,155.29828,-179.02917,237,,-185.82775,-161.19568,246,-182.05086,-157.91943,241.00013,-180.53997,-156.60881,239,-179.02917,-155.29828,237,,
A5,6,,,152.06804,-193.36833,246,148.97731,-189.43818,241.00013,147.7409,-187.86598,239,146.50458,-186.29388,237,,-193.36833,-152.06804,246,-189.43818,-148.97731,241.00013,-187.86598,-147.7409,239,-186.29388,-146.50458,237,,
A5,7,,,142.58816,-200.46101,246,139.6901,-196.38671,241.00013,138.53077,-194.75684,239,137.37152,-193.12707,237,,-200.46101,-142.58816,246,-196.38671,-139.6901,241.00013,-194.75684,-138.53077,239,-193.12707,-137.37152,237,,
H1,1,,,-162.22612,-184.92887,246,-158.92893,-181.17025,241.00013,-157.60993,-179.66666,239,-156.29102,-178.16318,237,,-184.92887,162.22612,246,-181.17025,158.92893,241.00013,-179.66666,157.60993,239,-178.16318,156.29102,237,,
H1,2,,,-170.93595,-176.9093,246,-167.46173,-173.31368,241.00013,-166.07192,-171.8753,239,-164.68219,-170.43701,237,,-176.9093,170.93595,246,-173.31368,167.46173,241.00013,-171.8753,166.07192,239,-170.43701,164.68219,237,,
H1,3,,,-179.24982,-168.47997,246,-175.60663,-165.05567,241.00013,-174.14922,-163.68583,239,-172.6919,-162.31607,237,,-168.47997,179.24982,246,-165.05567,175.60663,241.00013,-163.68583,174.14922,239,-162.31607,172.6919,237,,
H1,4,,,-187.1485,-159.66038,246,-183.34477,-156.41534,241.00013,-181.82314,-155.1172,239,-180.30161,-153.81915,237,,-159.66038,187.1485,246,-156.41534,183.34477,241.00013,-155.1172,181.82314,239,-153.81915,180.30161,237,,
H1,5,,,-194.61368,-150.47098,246,-190.65822,-147.4127,241.00013,-189.07589,-146.18928,239,-187.49367,-144.96594,237,,-150.47098,194.61368,246,-147.4127,190.65822,241.00013,-146.18928,189.07589,239,-144.96594,187.49367,237,,
H1,6,,,-201.62808,-140.93302,246,-197.53006,-138.06861,241.00014,-195.8907,-136.92273,239,-194.25144,-135.77694,237,,-140.93302,201.62808,246,-138.06861,197.53006,241.00014,-136.92273,195.8907,239,-135.77694,194.25144,237,,
H1,7,,,-208.17544,-131.06863,246,-203.94434,-128.4047,241.00013,-202.25175,-127.33903,239,-200.55927,-126.27344,237,,-131.06863,208.17544,246,-128.4047,203.94434,241.00013,-127.33903,202.25175,239,-126.27344,200.55927,237,,
H1,8,,,-214.23987,-120.90194,246,-209.88551,-118.44464,241.00012,-208.14361,-117.46164,239,-206.40183,-116.47869,237,,-120.90194,214.23987,246,-118.44464,209.88551,241.00012,-117.46164,208.14361,239,-116.47869,206.40183,237,,
H2,1,,,-223.4411,-102.90809,246,-218.89973,-100.81652,241.00013,-217.08302,-99.97981,239,-215.26642,-99.14316,237,,-102.90809,223.4411,246,-100.81652,218.89973,241.00013,-99.97981,217.08302,239,-99.14316,215.26642,237,,
H2,2,,,-228.13366,-92.03822,246,-223.49692,-90.16757,241.00013,-221.64205,-89.41924,239,-219.78731,-88.67096,237,,-92.03822,228.13366,246,-90.16757,223.49692,241.00013,-89.41924,221.64205,239,-88.67096,219.78731,237,,
H2,3,,,-232.29779,-80.95516,246,-227.57641,-79.30977,241.00013,-225.68769,-78.65156,239,-223.79909,-77.99338,237,,-80.95516,232.29779,246,-79.30977,227.57641,241.00013,-78.65156,225.68769,239,-77.99338,223.79909,237,,
H2,4,,,-235.92384,-69.68458,246,-231.12877,-68.26826,241.00013,-229.21056,-67.70168,239,-227.29248,-67.13514,237,,-69.68458,235.92384,246,-68.26826,231.12877,241.00013,-67.70168,229.21056,239,-67.13514,227.29248,237,,
H2,5,,,-239.00342,-58.25258,246,-234.14576,-57.06862,241.00013,-232.20251,-56.59499,239,-230.2594,-56.12139,237,,-58.25258,239.00342,246,-57.06862,234.14576,241.00013,-56.59499,232.20251,239,-56.12139,230.2594,237,,
H2,6,,,-241.5294,-46.68566,246,-236.62039,-45.73679,241.00013,-234.65661,-45.35721,239,-232.69295,-44.97765,237,,-46.68566,241.5294,246,-45.73679,236.62039,241.00013,-45.35721,234.65661,239,-44.97765,232.69295,237,,
H2,7,,,-243.49591,-35.0106,246,-238.54693,-34.29902,241.00013,-236.56716,-34.01436,239,-234.58752,-33.72972,237,,-35.0106,243.49591,246,-34.29902,238.54693,241.00013,-34.01436,236.56716,239,-33.72972,234.58752,237,,
H2,8,,,-244.89827,-23.25593,246,-239.92079,-22.78326,241.00013,-237.92962,-22.59418,239,-235.93858,-22.4051,237,,-23.25593,244.89827,246,-22.78326,239.92079,241.00013,-22.59418,237.92962,239,-22.4051,235.93858,237,,
H3,1,,,-158.12971,188.44362,246,-154.91577,184.61356,241.00013,-153.63008,183.0814,239,-152.34447,181.54934,237,,188.44362,158.12971,246,184.61356,154.91577,241.00013,183.0814,153.63008,239,181.54934,152.34447,237,,
